,packed_number,year,obs
135013953,40458,2012,703
135013954,40458,2012,703
135013955,40458,2012,703
135013956,40458,2012,703
135013957,40458,2012,703
135013958,40458,2012,703
135013959,40458,2012,703
135015129,40459,2006,703
135015130,40459,2006,703
135015131,40459,2006,703
135015132,40459,2006,703
135015136,40459,2006,703
135015137,40459,2006,703
135015138,40459,2006,703
135015139,40459,2006,703
135015140,40459,2006,703
135015141,40459,2006,703
135015142,40459,2006,703
135015143,40459,2006,703
135015144,40459,2006,703
135015145,40459,2006,703
135015146,40459,2006,703
135015147,40459,2006,703
135015156,40459,2006,703
135015157,40459,2006,703
135015158,40459,2006,703
135015159,40459,2006,703
135015163,40459,2006,703
135015164,40459,2006,703
135015165,40459,2006,703
135015166,40459,2006,703
135015167,40459,2006,703
135015168,40459,2006,703
135015169,40459,2006,703
135015170,40459,2006,703
135015200,40459,2008,G96
135015201,40459,2008,G96
135015202,40459,2008,G96
135015203,40459,2008,G96
135015207,40459,2009,G96
135015208,40459,2009,G96
135015209,40459,2009,G96
135015210,40459,2009,G96
135015215,40459,2009,703
135015216,40459,2009,703
135015217,40459,2009,703
135015218,40459,2009,703
135015219,40459,2009,703
135015220,40459,2009,703
135015221,40459,2009,703
135015252,40459,2009,G96
135015253,40459,2009,G96
135015254,40459,2009,G96
135015255,40459,2009,G96
135015258,40459,2009,703
135015260,40459,2009,703
135015261,40459,2009,703
135015263,40459,2009,703
135015277,40459,2010,703
135015278,40459,2010,703
135015279,40459,2010,703
135015280,40459,2010,703
135015303,40459,2010,G96
135015304,40459,2010,G96
135015305,40459,2010,G96
135015306,40459,2010,G96
135015313,40459,2010,703
135015314,40459,2010,703
135015315,40459,2010,703
135015316,40459,2010,703
135015321,40459,2010,G96
135015322,40459,2010,G96
135015323,40459,2010,G96
135015324,40459,2010,G96
135015325,40459,2011,703
135015326,40459,2011,703
135015327,40459,2011,703
135015328,40459,2011,703
135015337,40459,2011,703
135015338,40459,2011,703
135015339,40459,2011,703
135015340,40459,2011,703
135016690,40460,2005,703
135016692,40460,2005,703
135016693,40460,2005,703
135016694,40460,2005,703
135016704,40460,2005,703
135016705,40460,2005,703
135016706,40460,2005,703
135016707,40460,2005,703
135016712,40460,2005,G96
135016713,40460,2005,G96
135016714,40460,2005,G96
135016715,40460,2005,G96
135016723,40460,2006,703
135016724,40460,2006,703
135016725,40460,2006,703
135016730,40460,2006,G96
135016731,40460,2006,G96
135016732,40460,2006,G96
135016733,40460,2006,G96
135016750,40460,2007,703
135016751,40460,2007,703
135016752,40460,2007,703
135016753,40460,2007,703
135016754,40460,2007,703
135016755,40460,2007,703
135016756,40460,2007,703
135016757,40460,2007,703
135016780,40460,2007,703
135016781,40460,2007,703
135016782,40460,2007,703
135016783,40460,2007,703
135016784,40460,2007,G96
135016785,40460,2007,G96
135016786,40460,2007,G96
135016787,40460,2007,G96
135016795,40460,2007,G96
135016796,40460,2007,G96
135016798,40460,2007,G96
135016799,40460,2007,G96
135016829,40460,2007,703
135016830,40460,2007,703
135016831,40460,2007,703
135016832,40460,2007,703
135016879,40460,2007,G96
135016880,40460,2007,G96
135016881,40460,2007,G96
135016882,40460,2007,G96
135016896,40460,2009,703
135016897,40460,2009,703
135016898,40460,2009,703
135016899,40460,2009,703
135016917,40460,2009,G96
135016918,40460,2009,G96
135016919,40460,2009,G96
135016920,40460,2009,G96
135016921,40460,2009,G96
135016922,40460,2009,G96
135016923,40460,2009,G96
135016924,40460,2009,G96
135016925,40460,2009,G96
135016926,40460,2009,G96
135016927,40460,2009,G96
135016928,40460,2009,G96
135016929,40460,2009,703
135016930,40460,2009,703
135016931,40460,2009,703
135016932,40460,2009,703
135016938,40460,2009,703
135016939,40460,2009,703
135016940,40460,2009,703
135016941,40460,2009,703
135016956,40460,2010,703
135016957,40460,2010,703
135016958,40460,2010,703
135016959,40460,2010,703
135016985,40460,2011,G96
135016986,40460,2011,G96
135016987,40460,2011,G96
135016988,40460,2011,G96
135016989,40460,2011,G96
135016990,40460,2011,G96
135016991,40460,2011,G96
135016992,40460,2011,G96
135016995,40460,2011,703
135016996,40460,2011,703
135016997,40460,2011,703
135016998,40460,2011,703
135017027,40460,2011,703
135017029,40460,2011,703
135017031,40460,2011,703
135017032,40460,2011,703
135017040,40460,2011,G96
135017041,40460,2011,G96
135017042,40460,2011,G96
135017043,40460,2011,G96
135017054,40460,2011,703
135017055,40460,2011,703
135017057,40460,2011,703
135017058,40460,2011,703
135017062,40460,2011,703
135017063,40460,2011,703
135017064,40460,2011,703
135017065,40460,2011,703
135018035,40461,2005,703
135018036,40461,2005,703
135018037,40461,2005,703
135018038,40461,2005,703
135018047,40461,2006,G96
135018048,40461,2006,G96
135018049,40461,2006,G96
135018050,40461,2006,G96
135018051,40461,2007,G96
135018052,40461,2007,G96
135018053,40461,2007,G96
135018054,40461,2007,G96
135018064,40461,2007,G96
135018065,40461,2007,G96
135018066,40461,2007,G96
135018068,40461,2007,G96
135018087,40461,2007,G96
135018089,40461,2007,G96
135018090,40461,2007,G96
135018092,40461,2007,G96
135018129,40461,2007,G96
135018130,40461,2007,G96
135018132,40461,2007,G96
135018134,40461,2007,G96
135018141,40461,2007,703
135018142,40461,2007,703
135018143,40461,2007,703
135018144,40461,2007,703
135018146,40461,2007,G96
135018147,40461,2007,G96
135018149,40461,2007,G96
135018150,40461,2007,G96
135018162,40461,2007,G96
135018163,40461,2007,G96
135018164,40461,2007,G96
135018165,40461,2007,G96
135018166,40461,2007,703
135018167,40461,2007,703
135018168,40461,2007,703
135018169,40461,2007,703
135018170,40461,2008,G96
135018171,40461,2008,G96
135018172,40461,2008,G96
135018173,40461,2008,G96
135018207,40461,2009,703
135018208,40461,2009,703
135018209,40461,2009,703
135018210,40461,2009,703
135018222,40461,2009,703
135018223,40461,2009,703
135018224,40461,2009,703
135018225,40461,2009,703
135018236,40461,2009,G96
135018237,40461,2009,G96
135018238,40461,2009,G96
135018239,40461,2009,G96
135018254,40461,2010,703
135018255,40461,2010,703
135018256,40461,2010,703
135018257,40461,2010,703
135018266,40461,2010,703
135018267,40461,2010,703
135018268,40461,2010,703
135018269,40461,2010,703
135018275,40461,2010,703
135018276,40461,2010,703
135018277,40461,2010,703
135018278,40461,2010,703
135018279,40461,2010,703
135018280,40461,2010,703
135018281,40461,2010,703
135018282,40461,2010,703
135018283,40461,2010,703
135018284,40461,2010,703
135018285,40461,2010,703
135018289,40461,2010,703
135018290,40461,2010,703
135018292,40461,2010,703
135018293,40461,2010,703
135018299,40461,2010,703
135018300,40461,2010,703
135018301,40461,2010,703
135018302,40461,2010,703
135018303,40461,2010,703
135018304,40461,2010,703
135018305,40461,2010,703
135018306,40461,2010,703
135018312,40461,2011,703
135018313,40461,2011,703
135018314,40461,2011,703
135018315,40461,2011,703
135018316,40461,2011,703
135018317,40461,2011,703
135018318,40461,2011,703
135018319,40461,2011,703
135018320,40461,2011,703
135018321,40461,2011,703
135018322,40461,2011,703
135018323,40461,2011,703
135018330,40461,2012,703
135018331,40461,2012,703
135018332,40461,2012,703
135018334,40461,2012,703
135018356,40461,2012,703
135018357,40461,2012,703
135018358,40461,2012,703
135018359,40461,2012,703
135018360,40461,2012,703
135018361,40461,2012,703
135018362,40461,2012,703
135018363,40461,2012,703
135018368,40461,2012,703
135018369,40461,2012,703
135018370,40461,2012,703
135018371,40461,2012,703
135018387,40461,2012,703
135018388,40461,2012,703
135018389,40461,2012,703
135018390,40461,2012,703
135020149,40462,2005,703
135020150,40462,2005,703
135020151,40462,2005,703
135020152,40462,2005,703
135020156,40462,2005,703
135020157,40462,2005,703
135020158,40462,2005,703
135020159,40462,2005,703
135020160,40462,2005,703
135020161,40462,2005,703
135020162,40462,2005,703
135020163,40462,2005,703
135020173,40462,2005,703
135020174,40462,2005,703
135020175,40462,2005,703
135020176,40462,2005,703
135020187,40462,2005,703
135020188,40462,2005,703
135020189,40462,2005,703
135020190,40462,2005,703
135020191,40462,2005,703
135020192,40462,2005,703
135020193,40462,2005,703
135020194,40462,2005,703
135020265,40462,2006,703
135020266,40462,2006,703
135020267,40462,2006,703
135020268,40462,2006,703
135020269,40462,2006,G96
135020270,40462,2006,G96
135020271,40462,2006,G96
135020272,40462,2006,G96
135020347,40462,2007,703
135020348,40462,2007,703
135020349,40462,2007,703
135020350,40462,2007,703
135020356,40462,2008,703
135020357,40462,2008,703
135020358,40462,2008,703
135020367,40462,2008,703
135020368,40462,2008,703
135020369,40462,2008,703
135020370,40462,2008,703
135020371,40462,2008,703
135020372,40462,2008,703
135020373,40462,2008,703
135020382,40462,2008,703
135020383,40462,2008,703
135020384,40462,2008,703
135020385,40462,2008,703
135020386,40462,2008,703
135020387,40462,2008,703
135020388,40462,2008,703
135020389,40462,2008,703
135020403,40462,2009,703
135020404,40462,2009,703
135020405,40462,2009,703
135020406,40462,2009,703
135020407,40462,2009,703
135020408,40462,2009,703
135020409,40462,2009,703
135020410,40462,2009,703
135020421,40462,2009,703
135020422,40462,2009,703
135020423,40462,2009,703
135020424,40462,2009,703
135020429,40462,2009,703
135020430,40462,2009,703
135020431,40462,2009,703
135020432,40462,2009,703
135020458,40462,2010,703
135020459,40462,2010,703
135020460,40462,2010,703
135020461,40462,2010,703
135020473,40462,2010,703
135020474,40462,2010,703
135020475,40462,2010,703
135020476,40462,2010,703
135020498,40462,2010,G96
135020499,40462,2010,G96
135020500,40462,2010,G96
135020501,40462,2010,G96
135020507,40462,2010,703
135020508,40462,2010,703
135020509,40462,2010,703
135020510,40462,2010,703
135020521,40462,2010,703
135020522,40462,2010,703
135020523,40462,2010,703
135020529,40462,2010,703
135020530,40462,2010,703
135020531,40462,2010,703
135020532,40462,2010,703
135020538,40462,2010,G96
135020539,40462,2010,G96
135020540,40462,2010,G96
135020541,40462,2010,G96
135023120,40463,2005,G96
135023121,40463,2005,G96
135023122,40463,2005,G96
135023123,40463,2005,G96
135023127,40463,2006,G96
