Bolide Detection Notification: 2002-332

At 15:41:53 UT on 28 Nov 2002, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak 1.5E10 watts/steradian,
and  total radiated flash energy 4.6E10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots  below. On the intensity-time plot, one count on vertical axis corresponds to
2.35E8  watts/steradian. On the integrated intensity plot, one count represents
2.96E9 joules  radiated energy.

Peak Intensity = 1.50e+10 watts/steradian
Total Energy   = 4.67e+10 joules

Intensity=[
( 0.979, 2.65e+08),
( 0.982, 2.81e+08),
( 0.986,-1.68e+08),
( 0.989, 4.51e+08),
( 0.992, 1.44e+09),
( 0.996, 5.85e+08),
( 0.999, 5.37e+07),
( 1.002,-4.85e+08),
( 1.006, 3.38e+07),
( 1.009,-2.26e+08),
( 1.012,-3.29e+08),
( 1.016, 3.00e+08),
( 1.019, 1.39e+08),
( 1.023, 7.56e+08),
( 1.026, 7.58e+08),
( 1.029,-2.93e+08),
( 1.033, 7.34e+08),
( 1.036, 8.44e+08),
( 1.040, 5.98e+08),
( 1.043, 6.67e+08),
( 1.046, 2.88e+08),
( 1.050,-1.69e+08),
( 1.053,-5.80e+08),
( 1.056,-1.47e+08),
( 1.060, 2.88e+08),
( 1.063, 9.00e+07),
( 1.066,-2.42e+08),
( 1.070, 3.60e+08),
( 1.073,-3.42e+08),
( 1.077, 3.53e+07),
( 1.080,-2.86e+08),
( 1.083, 4.03e+08),
( 1.087, 1.46e+08),
( 1.090,-4.11e+08),
( 1.094,-2.24e+08),
( 1.097,-7.13e+07),
( 1.100,-3.49e+08),
( 1.104, 1.34e+08),
( 1.107,-4.48e+08),
( 1.110,-3.50e+08),
( 1.114,-1.75e+08),
( 1.117, 3.06e+08),
( 1.120,-4.07e+08),
( 1.124, 1.07e+08),
( 1.127,-8.73e+06),
( 1.131, 1.83e+08),
( 1.134,-3.08e+08),
( 1.137,-3.46e+08),
( 1.141, 4.15e+08),
( 1.144, 6.99e+08),
( 1.148, 1.91e+08),
( 1.151, 7.25e+07),
( 1.154,-7.82e+07),
( 1.158,-3.67e+08),
( 1.161, 2.60e+08),
( 1.164, 1.08e+09),
( 1.168, 1.09e+09),
( 1.171,-1.26e+08),
( 1.174,-1.68e+08),
( 1.178, 1.10e+08),
( 1.181, 3.67e+08),
( 1.185, 1.58e+08),
( 1.188, 3.34e+08),
( 1.191, 5.24e+08),
( 1.195, 1.22e+09),
( 1.198, 1.01e+09),
( 1.202,-1.88e+08),
( 1.205,-3.33e+08),
( 1.208, 2.32e+08),
( 1.212, 5.09e+08),
( 1.215, 3.09e+08),
( 1.218,-8.00e+07),
( 1.222, 5.61e+08),
( 1.225, 2.30e+08),
( 1.228, 4.71e+08),
( 1.232, 4.58e+08),
( 1.235,-5.97e+07),
( 1.239, 4.71e+08),
( 1.242, 4.80e+08),
( 1.245,-5.86e+08),
( 1.249, 7.92e+07),
( 1.252, 2.20e+08),
( 1.256,-9.63e+08),
( 1.259,-9.06e+08),
( 1.262, 7.31e+08),
( 1.266, 6.89e+06),
( 1.269,-6.88e+08),
( 1.272, 1.07e+08),
( 1.276,-1.51e+08),
( 1.279,-2.71e+08),
( 1.282, 1.75e+08),
( 1.286, 2.99e+08),
( 1.289,-1.66e+08),
( 1.293,-4.99e+08),
( 1.296,-3.44e+08),
( 1.299,-2.51e+08),
( 1.303,-3.07e+08),
( 1.306,-4.78e+07),
( 1.310,-1.14e+08),
( 1.313, 6.72e+08),
( 1.316,-8.73e+07),
( 1.320,-5.62e+08),
( 1.323,-5.29e+08),
( 1.326,-3.37e+07),
( 1.330, 9.09e+07),
( 1.333, 2.33e+08),
( 1.336, 2.94e+08),
( 1.340,-3.30e+08),
( 1.343,-6.67e+07),
( 1.347, 2.55e+08),
( 1.350, 9.09e+07),
( 1.353, 1.10e+09),
( 1.357, 1.83e+08),
( 1.360, 1.15e+08),
( 1.364,-1.91e+08),
( 1.367, 3.48e+08),
( 1.370,-1.19e+08),
( 1.374,-8.69e+08),
( 1.377,-8.75e+08),
( 1.380,-4.07e+08),
( 1.384,-8.10e+07),
( 1.387, 1.02e+08),
( 1.390, 2.49e+08),
( 1.394,-1.17e+06),
( 1.397,-1.03e+09)]
